Food_Name,PC1,PC2,cluster
Fudgesicle,-1.4945370479606823,-0.8521126236494337,1
"Light ice cream cone, vanilla, prepackaged",-0.3294230500557457,-0.8251725691741041,1
"Light ice cream cone, chocolate, prepackaged",-0.22128781934162306,-0.9284008686685512,1
"Sherbet, all flavors",-2.4417300230195917,-0.619407382316773,1
"Fudgesicle, light",-1.7685530032656245,0.21925097345881464,1
"Pudding, chocolate, NFS",-2.0874886881337913,-0.47617479839578275,1
"Pudding, bread",-1.1049700237567803,-0.1250554407566865,1
"Pudding, flavors other than chocolate, NFS",-2.5758396860251858,-0.6756985452522463,1
Custard,-1.7448636887618905,-0.5083611907901459,1
Flan,-1.0724964693073846,-0.6661565922878955,1
Creme brulee,-1.97201988848367,-0.521691059738847,1
"Pudding, rice",-2.389203863846843,-0.5873909574678681,1
"Firni, Indian pudding",-1.862830245920305,-0.42116528418714533,1
"Pudding, tapioca, made from dry mix",-2.4831738129882392,-0.5862302563894878,1
"Pudding, flavors other than chocolate, made from dry mix",-2.1184643218176453,-0.4804254740899137,1
"Pudding, chocolate, made from dry mix",-2.0379346041113204,-0.3944356745031214,1
"Pudding, flavors other than chocolate, made from dry mix, sugar free",-2.1699730224477287,-0.4917386757224086,1
"Pudding, chocolate, made from dry mix, sugar free",-1.9753936765668638,-0.3489472307797505,1
"Pudding, flavors other than chocolate, ready-to-eat",-2.5758396860251858,-0.6756985452522463,1
"Pudding, flavors other than chocolate, ready-to-eat, sugar free",-2.1699730224477287,-0.4917386757224086,1
"Pudding, chocolate, ready-to-eat",-2.0874886881337913,-0.47617479839578275,1
"Pudding, chocolate, ready-to-eat, sugar free",-1.9753936765668638,-0.3489472307797505,1
"Pudding, tapioca, ready-to-eat",-2.4831738129882392,-0.5862302563894878,1
Banana pudding,-1.91580095796687,-0.25859599221839413,1
Mousse,1.4746221898800989,-2.8336441136877104,5
Dulce de leche,1.0313608291702934,-1.4045904309543604,0
"Barfi or Burfi, Indian dessert",0.9218892651126147,-2.4693557010194884,0
Trifle,-0.6169840899082967,-1.6312381740272321,1
Tiramisu,4.287053292685437,-5.358283777083394,2
White sauce or gravy,-0.2703696179671992,-1.8030267676469773,1
"Cheese, NFS",8.310837236921229,-6.541906467874345,2
"Cheese, Blue or Roquefort",7.3504482701501885,-6.312492303125182,2
"Cheese, Brick",7.697462639105072,-7.005761146049993,2
"Cheese, Camembert",5.858997627558827,-4.883871828959964,2
"Cheese, Brie",6.265053286556441,-5.9381912739195934,2
"Cheese, Cheddar",8.529527579802837,-7.349401461877279,2
"Cheese, Cheddar, reduced fat",5.6639860895736325,-4.4273783920016605,2
"Cheese, Cheddar, nonfat or fat free",-0.09808059151459735,0.7841040954856959,5
"Cheese, Colby",8.198422719216406,-7.335383990935652,2
"Cheese, Colby Jack",7.915056344922976,-7.106266974584956,2
"Cheese, Feta",4.015282331119618,-4.286212998159485,2
"Cheese, Fontina",7.446479304982775,-7.3558773174912435,2
"Cheese, goat",9.781865763155464,-11.503609826792813,2
"Cheese, Gouda or Edam",8.239336493718298,-7.892815455762518,2
"Cheese, Gruyere",9.36257559886389,-7.91167143173767,2
"Cheese, Limburger",7.090869585258672,-6.197434751146931,2
"Cheese, Monterey",7.631366102330043,-6.873792110629487,2
"Cheese, Monterey, reduced fat",5.754799236712349,-5.102476153153418,2
"Cheese, Mozzarella, NFS",5.200868762254806,-3.9638510877472357,2
"Cheese, Mozzarella, part skim",5.200868762254806,-3.9638510877472357,2
"Cheese, Mozzarella, reduced sodium",4.02100765864713,-3.3439355543320994,2
"Cheese, Mozzarella, nonfat or fat free",0.5189213650987559,1.3099723470175095,5
"Cheese, Muenster",7.830528092198276,-6.972963370596614,2
"Cheese, Muenster, reduced fat",4.72133904216962,-4.319860351861748,2
"Cheese, Parmesan, dry grated",8.161876480136726,-5.902964090764815,2
"Cheese, Parmesan, dry grated, reduced fat",5.762933292617047,-2.5163795380809,2
"Cheese, Parmesan, hard",8.161876480136726,-5.902964090764815,2
"Cheese, Parmesan, dry grated, fat free",3.4135231095779597,0.39146910985952166,0
"Cheese, Port du Salut",8.239336493718298,-7.892815455762518,2
"Cheese, Provolone",6.91717550630781,-6.367255968441242,2
"Cheese, provolone, reduced fat",4.620929176656802,-3.948884516245717,2
"Cheese, Swiss",8.416935719313882,-6.990954825816084,2
"Cheese, Swiss, reduced sodium",8.190394176710138,-7.14167354212777,2
"Cheese, Swiss, reduced fat",1.522062108588151,-0.44691795924248956,5
"Cheese, Swiss, nonfat or fat free",0.27890178500547336,1.1578872438267909,5
